ID;Atasözü/Deyim;Anlamı;Zorluk;Kategori;Örnek;Yanlış Cevap 1;Yanlış Cevap 2;Yanlış Cevap 3
444;"Sarımsak yemedim ki ağzım
koksun";Kötü bir iş yapmadım ki sonucundan korkayım, sorumlu olayım.;3;genel;;Her ağaçtan kaşık olmaz;"Can çıkmayınca huy
çıkmaz";Maymun gözünü açtı
445;"Satılık ziftin olsun,
Selanik’ten kel gelir";İşe yaramaz sandığın bir malı satılığa çıkarırsan akla gelmeyen yerlerden onu arayanlar gelir.;3;genel;;İçi dışına çıkmak;"Demir tavında dövülür
Her iş zamanında ve uygun
durumda yapılır.
200-Deniz kenarında dalga eksik
olmaz";Aklına geleni yapmak
446;Sel gider, kum kalır;Geçici durumlara güvenmek doğru değildir.;3;genel;;İçini okumak;"Suya götürüp susuz
getirmek";Kafa patlatmak
447;Selam verdik, borçlu çıktık;Küçük bir ilgi gösterdik, üzerimize büyük bir iş yüklediler.;3;genel;;Üstüne alınmak;"Tatlı dil yılanı deliğinden
çıkarır";Yaş akıtmak
448;"Sen giderken ben
geliyordum";Ben bu işi senden önce yaptım.;3;genel;;Ismarlama hac, hac olmaz;"Kader olmayınca kadir
bilinmez";İçi dışına çıkmak
449;"Seninki can da benimki
patlıcan mı?
Senin canının değeri var da
benimkinin değeri yok mu?
450-Serçeden korkan darı ekmez";Tehlikeleri gözde büyüterek işe girişmekte çekingen davrananlar amaçlarına ulaşamazlar.     56;3;genel;;Arı bal alacak çiçeği bilir;Sevinci kursağında kalmak;"Nalıncı keseri gibi kendine
yontmak"
451;"Sinek küçüktür ama mide
bulandırır";Önemsiz, küçük gibi görünen bir şey kötü ve olumsuz bir izlenim yaratır.;3;genel;;Ismarlama hac, hac olmaz;Yarası olan gocunur;O tarakta bezi olmamak
452;"Son pişmanlık fayda
vermez";İş işten geçtikten sonra pişman olmanın yararı yoktur.;3;genel;;"Akşamın hayrından sabahın
şerri iyidir";Yanına kâr kalmak;"İsteyenin bir yüzü,
vermeyenin iki yüzü kara"
453;"Sorma kişinin aslını
sohbetinden bellidir";Birinin nasıl bir karakterde olduğu konuşmasından ve davranışlarından anlaşılır.;3;genel;;Balık kavağa çıkınca;Sallantıda bırakmak;Geç olsun da güç olmasın
454;Su bulanmayınca durulmaz;Bir konu türlü çekişmeden sonra aydınlığa kavuşur ,yoluna girer.;3;genel;;"İncir çekirdeğini
doldurmamak";Ölüm hak miras helal;Zorla güzellik olmaz
455;Su testisi su yolunda kırılır;Bir kişi amaç edindiği işte kazaya uğrar.;3;genel;;Mızrak çuvala sığmaz;Üstüne alınmak;Tuttuğunu koparmak
456;"Suyu havana koy, döv döv
yine su";Etkili bir özelliği bulunan kişi ya da nesnenin bu özelliği ne kadar uğraşılırsa uğraşılsın değişmez.;3;genel;;Turşuya dönmek;Güneş balçıkla sıvanmaz;"Az veren candan, çok veren
maldan"
457;"Suyu görünce teyemmüm
bozulur";Bir zorunluluk dolayısıyla yapılmakta olan bir işin, bu zorunluluk ortadan kalktığında gereği gibi yapılmak için yeni baştan ele alınması gerekir.;3;genel;;Sarpa sarmak;Eli boş dönmek;"Alçak yerde yatma sel alır,
yüksek yerde yatma yel alır"
458;"Sütten ağzı yanan ayranı
üfleyerek içer";Bir davranışı kendisine pahalıya mal olan kişi, benzeri durumda ihtiyatlı davranır.     57;3;genel;;"Karda gezip izini belli
etmemek";"Tembele iş buyur, sana
akıl öğretsin";Nefes aldırmamak
459;"Şeytanın dostluğu
darağacına kadardır";Kötü arkadaş kişiyi yoldan çıkarıp ölüme kadar sürükleyebilir, ama ölümün eşiğinde onu kaderiyle baş başa bırakır.;3;genel;;"Eşek , kulağı kesilmekle
küheylan olmaz";"Suya götürüp susuz
getirmek";Meydanı boş bulmak
460;"Tabak sevdiği deriyi taştan
taşa çalar";Birinin yakınlarına gösterdiği sert davranış onun iyiliği içindir.;3;genel;;"Baca eğri de olsa dumanı
doğru çıkar";Göğüs geçirmek;Kafa sallamak
461;"Tarlada izi olmayanın
harmanda sözü olmaz";Kendini işe vermeyenden, bir iş üretmeyenden hayır gelmez.;3;genel;;Tepesinin tası atmak;"Aba vakti aba, yaba vakti
yaba";"İşi Allah’a kalmak
Kimsenin kendisine yardım etmediği
bir durumda, çaresiz kalmak.
176-İş başa düşmek"
462;"Taş attın da kolun mu
yoruldu?
Bu kazancı hiç yorulmadan elde
ettin.
463-Taş yerinde ağırdır";Herkesin, her şeyin kendi çevresinde önem taşıdığını anlatan bir söz.;3;genel;;"Dost dostun ayıbını
yüzüne söyler";"Kader olmayınca kadir
bilinmez";Malın iyisi boğazdan geçer
464;Taşı sıksa suyunu çıkarır;Çok güçlü biridir, her zorluğun üstesinden gelir.;3;genel;;İn cin top oynamak;Kanaat gibi devlet olmaz;Ava giden avlanır
465;"Taşıma su ile değirmen
dönmez";İşi yapacak olanda yeteri kadar güç bulunmadıkça başkalarının küçük katkılarıyla sürekli ve büyük bir iş yürütülemez.;3;genel;;"Parayı araya değil, paraya
vermeli";"Okka her yerde dört yüz
dirhem";"Son pişmanlık fayda
vermez"
466;"Tatlı dil yılanı deliğinden
çıkarır";Gönül alıcı, okşayıcı sözlerle karşımızdakinin inadı yenilebilir.     58;3;genel;;Sünger çekmek;"Kuş vardır eti yenir, kuş
vardır et yedirilir";"Bir dediği bir dediğini
tutmamak"
467;"Tavşan dağa küsmüş,
dağın haberi olmamış";Önemsiz kişi, önemli kişiye küsse önemli kişinin umurunda bile olmaz.;3;genel;;Su gibi ezberlemek;Ağlamakla yâr ele geçmez;Abayı sermek
468;"Tavuğun sadakası bir
yumurta";Gücü büyük işler yapmaya yetmeyen ya da zengin olmayan kişilerden ancak küçük yardımlar beklenebilir.;3;genel;;Göz nuru dökmek;"Satılık ziftin olsun,
Selanik’ten kel gelir";İki ölç bir biç
469;"Tekerlek kırıldıktan sonra
yol gösteren çok olur";Sonucu kötü çıktıktan sonra bir davranış üzerine akıl öğreten çok bulunur.;3;genel;;Tepesine binmek;İki kaptan bir gemiyi batırır;İki arada bir derede kalmak
470;"Tekkeyi bekleyen çorbayı
içer";Bir şeyi elde etmek için bazı sıkıntılara katlanmak gerekir.;3;genel;;İki at bir kazığa bağlanmaz;"Eskisi olmayanın yenisi
olmaz";Gam yememek
471;"Tembele iş buyur, sana
akıl öğretsin";Kendisinden bir konuda yardımcı olması istendiğinde yardım edeceği yerde çözüm yolları gösteren kimseler için kullanılan bir söz;3;genel;;Kürek kadar dili olmak;Turşuya dönmek;Çizgisinden sapmamak
472;"Terzi kendi söküğünü
dikemez";İnsanlar başkalarına yaptıkları hizmetleri kendilerine yapamazlar.;3;genel;;"Çok söyleme arsız
edersin, aç bırakma hırsız
edersin";Selam verdik, borçlu çıktık;Üstüne üstüne gitmek
473;Teşbihte hata olmaz;Yeri geldiği zaman çirkin, kaba bir benzetme ile anlatıma daha etkili bir hava verilmesi saygısızca bir davranış değildir, kimse bundan alınmamalıdır.     59;3;genel;;Paçaları sıvamak;Tıka basa doldurmak;Paçayı kurtarmak
474;"Tilki tilkiliğini anlatıncaya
kadar post elden gider";Bir gerçeği anlatıncaya kadar çoğu kez başa gelmedik kalmaz.;3;genel;;Suya sabuna dokunmamak;İki deliye bir uslu koymuşlar;Yük altına girmek
475;"Tilkinin dönüp dolaşıp
geleceği yer kürkçü dükkânıdır";Bir kişi ne kadar farklı yerlerde yaşarsa yaşasın, ne kadar farklı işlerle uğraşırsa uğraşsın, bağı bulunduğu çevreye veya işe dönmek zorunda kalır.;3;genel;;"Sen giderken ben
geliyordum";Diline düşmek;"Acıkan ne olsa yer, acıyan ne
olsa söyler"
476;Tok açın hâlinden bilmez;Varlıklı olan, yoksulun ne denli sıkıntı içinde olduğunu bilmez.;3;genel;;"Son pişmanlık fayda
vermez";Yıldızları barışmamak;Mumla aramak
477;Ucuz alan, pahalı alır;Ucuz olan mal çabuk eskir, pahalıya alınmış gibi olur.;3;genel;;"Sinek küçüktür ama mide
bulandırır";İpe sapa gelmemek;Su testisi su yolunda kırılır
478;"Ucuz etin yahnisi yavan
olur";Ucuza mal olan şeyler niteliksizdir.;3;genel;;Rüzgâr ekip fırtına biçmek;İple çekmek;"Demir nemden, insan
gamdan çürür"
479;"Ucuzdur vardır illeti,
pahalıdır vardır hikmeti";Ucuz şeylerin ucuzluğuna tamah etmemeli, pahalı şeylerin de pahalılığından korkulmamalıdır.;3;genel;;Çivi çıkar ama yeri kalır;"Ağlar gözden, sahte sözden
kendini sakın";Kafa sallamak
480;Ummadığın taş baş yarar;Küçük veya önemsiz şeyler de çoğu kez büyük etkiler yapabilir.;3;genel;;"Kaymağı seven mandayı
yanında taşır";Arpa eken buğday biçmez;Sarpa sarmak
481;"Uyuyan yılanın kuyruğuna
basma";Size zararı dokunmayacak kişiyi saldırgan duruma getirecek davranışlarda bulunmayınız.;3;genel;;"Arayan Mevla’sını da bulur,
belasını da";"Altı olur, yedi olur, hep Allah'ın
dediği olur";Kale almamak
482;"Üzüm üzüme baka baka
kararır";Her zaman bir arada bulunan kişiler birbirlerine huy aşılarlar.     60;3;genel;;Volta atmak;Tabanları yağlamak;Kalıbının adamı olmamak
483;"Üşüntü köpekler mandayı
paralar";Birlikten güç doğar.;3;genel;;"Yanlış hesap Bağdat’tan
döner";Tozu dumana katmak;Turşusunu kurmak
484;"Vakitsiz öten horozun başını
keserler
Her söz yerinde ve zamanında
söylenmelidir. Zamansız ve yersiz
söylenen sözler büyük
zararlara yol açabilir.
485-Vermeyince mabut, neylesin
Sultan Mahmut";Allah geniş bir yaşama ya da yetenek kısmet etmemişse kulun elinden ne gelir?;3;genel;;Acele yürüyen yolda kalır;"Fakirlik ayıp değil,
tembellik ayıp";Ne yârdan geçilir ne serden
486;"Yanlış hesap Bağdat’tan
döner";Ortaya çıkan bir yanlışlık çok geç de olsa düzeltilebilir.;3;genel;;Silip süpürmek;Yüz yüzden utanır;Sallantıda kalmak
487;Yarası olan gocunur;Bir işte sorumlu aranırken kusuru olan kimse telaşa düşer.;3;genel;;Çorap söküğü gibi gitmek;"Korkunun ecele faydası
yoktur";Yeşil ışık yakmak
488;Yarım elma, gönül alma;Armağan küçük de olsa gönül almaya yeter.;3;genel;;Tıka basa yemek;"Arı söğüdü, akıllı öğüdü
sever";"Kaşıkla verip kepçeyle geri
almak"
489;Yaş kesen baş keser;"Ağaç kesmek, insan öldürmek kadar büyük bir suçtur"" anlamında kullanılan bir söz.";3;genel;;Üstüne üstüne gitmek;"Evdeki hesap çarşıya
uymaz";"Katranı kaynatsan olur mu
şeker?
Kişi, kendi özünü veya asıl
özelliklerini değiştirmiş gibi görünse
de asla değişmez.
343-Kavgada kılıç ödün vermez"
490;"Yavaş atın tekmesi yavuz
olur";Yumuşak huylu kimseler öfkelendiklerinde aşırı davranışlarda bulunurlar.;3;genel;;"Mal adama hem dost hem
düşmandır";Acı acıyı keser, su sancıyı;Göbeği çatlamak
491;Yel gibi gelen sel gibi gider;Emek vermeden ele geçen para çarçur olur gider.     61;3;genel;;Sermayeyi kediye yüklemek;Ev alma, komşu al;"Damdan düşen, damdan
düşenin hâlini bilir"
492;Yeme de yanında yat;Çok lezzetli veya çok hoş olan şeyler için söylenen bir söz.;3;genel;;Parmağında oynatmak;"Kaşıkla verip kepçeyle geri
almak";Cendereye sokmak
493;Yiğit meydanda belli olur;Sözle atıp tutmak kolaydır, asıl marifet iş başında kendini göstermekle olur.;3;genel;;İnsan kıymetini insan bilir;"Karga kekliği taklit edeyim
derken kendi yürüyüşünü
şaşırmış";Külahını ters giydirmek
494;Yüz yüzden utanır;İnsanlar karşı karşıya geldiklerinde daha kolay uzlaşabilirler.;3;genel;;"Kırkından sonra saza
başlayan kıyamette çalar";Tuttuğunu koparmak;"Kısmetsiz köpek, sabaha
karşı uyuyakalır"
495;Zahmetsiz rahmet olmaz;Sıkıntı, güçlük çekmeden iyi ve güzel işler başarılamaz.;3;genel;;"Herkes gider Mersin’e, biz
gideriz tersine";"Sakalım yok ki sözüm
dinlensin";Ağaç yaşken eğilir
496;"Zenginin malı züğürdün
çenesini yorar";Birinin zenginliğinden çok söz etmenin gereksizliğini, yersizliğini belirtmek için söylenen bir söz.;3;genel;;"Tekerlek kırıldıktan sonra
yol gösteren çok olur";"Parayı araya değil, paraya
vermeli";"Bir mıh(çivi) bir nal
kurtarır,bir nal bir at kurtarır"
497;Zor oyunu bozar;Hile, güç kullanarak düzenlenen oyun boşa çıkarıldığında söylenen bir söz.;3;genel;;"Aç aman bilmez, çocuk
zaman bilmez";Yoluna can vermek;Dilini tutamamak
498;Zorla güzellik olmaz;Kişiye beğenmediği şey zorla beğendirilemez.;3;genel;;"Evlinin bir evi var, kiracının
bin evi var";Nefesini tutup beklemek;"Dervişin fikri ne ise zikri
de odur"
499;"Zurnada peşrev olmaz, ne
çıkarsa bahtına";Rastgele yapılan plansız işlerde yöntem, kural aranmaz.;3;genel;;"İstediğini söyleyen,
istemediğini işitir";"Kulağı ters taraftan
göstermek";Gemi azıya almak
500;"Zürefanın düşkünü, beyaz
giyer kış günü";Daha önce iyi bir durumda olan kişi bu konumunu kaybettiğinde uygun olmayan, yersiz davranışlarda bulunur, herkesin yadırgadığı işler yapar.     63;3;genel;;Kulak kesilmek;İçine atmak;"İyilik et denize at, balık
bilmezse Halik bilir"
1;Abayı sermek;Uzun süre yerleşip kalmak.;1;genel;;"Taş attın da kolun mu
yoruldu?
Bu kazancı hiç yorulmadan elde
ettin.
463-Taş yerinde ağırdır";İçi kan ağlamak;Kaş göz işareti yapmak
2;Abayı yakmak;Birine aşırı bir biçimde gönül vermek, tutulmak, âşık olmak.;1;genel;;Kelleyi vermek;Dünyalara değişmemek;"Terzi kendi söküğünü
dikemez"
3;Açık kapı bırakmak;Gereğinde, bir konuya yeniden dönebilme imkânı bırakmak, kesip atmamak.;1;genel;;El için ağlayan gözden olur;Parmağı ağzında kalmak;Ağacı kurt, insanı dert yer
4;Ağız değiştirmek;Önce söylediğini başka türlü anlatmak.;1;genel;;Eli boş dönmek;"Eskisi olmayanın yenisi
olmaz";Yakasına yapışmak
5;Akla karayı seçmek;Bir işi başarıncaya değin çok sıkıntı çekmek, güçlüklerle karşılaşmak.;1;genel;;"Üşüntü köpekler mandayı
paralar";"Irak yerin haberini kervan
getirir";"Komşu ekmeği komşuya
borçtur"
6;Akla hayale gelmemek;İnanılmamak;1;genel;;"Altın yerde paslanmaz, taş
yağmurdan ıslanmaz";"Kes parmağını çık pazara,
merhem buyuran çok olur";Son noktayı koymak
7;Aklına geleni yapmak;Her istediğini önünü sonunu düşünmeden yapmak.;1;genel;;Hüsrana uğramak;Çorap söküğü gibi gitmek;Adam olana bir söz yeter
8;Aklını peynir ekmekle yemek;Düşüncesizce davranmak, delice işler yapmak.;1;genel;;İp inceldiği yerden kopar;"Kuş vardır eti yenir, kuş
vardır et yedirilir";"Arayan Mevla’sını da bulur,
belasını da"
9;Aklından çıkarmamak;Sürekli hatırlamak, unutmamak;1;genel;;Her ağaçtan kaşık olmaz;Hevesi kursağında kalmak;Tereciye tere satmak
10;Aralarından kara kedi geçmek;Dostluk bağlarının gevşemesi, soğukluk girmesi.;1;genel;;Kanat germek;Pahalıya mal olmak;Keli görünmek
11;"Arpacı kumrusu gibi
düşünmek";İçinde bulunduğu sorunu nasıl çözeceğini uzun uzun düşünmek. - -;1;genel;;"Adı çıkmış dokuza, inmez
sekize";Çocuk düşe kalka büyür;Paraya kıymak
12;Asıp kesmek;İşbaşında bulunan bir kimse yasayı çiğneyerek sert davranmak.;1;genel;;Dilini tutamamak;"Hekimden sorma,
çekenden sor";Alıcı kuşun ömrü az olur
13;Aşık atmak;Yarışmak, yarış etmek.;1;genel;;İki emini bir yemin aralar;"Derdi veren devasını da
verir";Karnı zil çalmak
14;"Ayağını yorganına göre
uzatmak";Giderini gelirine uydurmak.;1;genel;;Zeval vermemek;"Kaş yapayım derken göz
çıkarmak";Hevesi kursağında kalmak
15;Ayakları geri geri gitmek;Bir yere istemeye istemeye gitmek.;1;genel;;"Körler memleketinde şaşılar
padişah olur";"Keçi kurttan kurtulsa
gergedan olur";Ağacın kurdu içinde olur
16;Baklayı ağzından çıkarmak;Gizli tuttuğu şeyleri açıklamak, söyleyemediği şeyleri sabrı tükenince söylemek.;1;genel;;"Notunu vermek
Bir kimse için kötü bir kanıya
varmak
274-Ocağı batmak
Yuvası yıkılmak veya soyu
tükenmek
275-Ocağına düşmek
Birine koruması için sığınmak
veya yardım etmesi için yalvarmak
276-Ocağına incir dikmek
Birinin evini barkını dağıtmak
277-Ok yaydan çıkmak
Geri dönülemeyecek bir iş yapmak
278-Olmayacak duaya amin
demek
Gerçekleşmeyecek, sonuç
vermeyecek işlerle uğraşmak
279-On paraya on takla atmak";"İyilik et denize at, balık
bilmezse Halik bilir";"Bir koltuğa iki karpuz
sığmaz"
17;Balık kavağa çıkınca;Gerçekleşme olanağı bulunmayan şeyin gerçekleşebileceği kabul edilirse.;1;genel;;Mal canın yongasıdır;"İyilik et denize at, balık
bilmezse Halik bilir";Çorbada tuzu bulunmak
18;Bam teline basmak;Birinin çok kızacağı şeyi yapmak veya sözü söylemek.;1;genel;;Yanlış kapı çalmak;İş olacağına varır;Tam adamına çatmak
19;Benzine kan gelmek;Sağlıklı duruma gelmek, canlanmak;1;genel;;Su gibi ezberlemek;Malın iyisi boğazdan geçer;"Tencerede pişirip kapağında
yemek"
20;Bıyık altından gülmek;Birinin durumuna belli etmemeye çalışarak gülümsemek.;1;genel;;Ne yârdan geçilir ne serden;Hevesi kalmamak;Yan gözle bakmak
21;Bindiği dalı kesmek;Kendisine gerekli ve yararlı olan şeyi farkında olmadan yararsız duruma getirmek, kendi eliyle yok etmek.;1;genel;;"Fakirlik ayıp değil,
tembellik ayıp";İç açmak;Tereciye tere satmak
22;"Bir dediği bir dediğini
tutmamak";Söyledikleri birbirine uymamak, tutarsız konuşmak. - 64;1;genel;;"Can çıkmayınca huy
çıkmaz";Kan beynine sıçramak;Pılı pırtıyı toplamak
23;"Bir kulağından girip öbür
kulağından çıkmak";Söylenen söze önem vermemek.;1;genel;;Ne şiş yansın ne kebap;"Ağlama ölü için, ağla deli
için";"Kar kuytuda, para pintide
eğleşir"
24;Boyunun ölçüsünü almak;Kendi yetersizliğini, beceriksizliğini anlamak.;1;genel;;Kişi arkadaşından bellidir;"Pilav yiyen kaşığını
yanında taşır";"Lokma karın doyurmaz,
şefaat artırır"
25;Bozuk çalmak;Canı sıkılmış, yüzü asılmış olmak.;1;genel;;Sakınılan göze çöp batar;"Karıncadan ibret al,
yazdan kışı karşılar";"Karıncanın zevali gelince
kanatlanır"
26;Buluttan nem kapmak;En küçük bir şeyden alınmak, çok alıngan olmak.;1;genel;;Lafa tutmak;"Doluya koydum almadı, boşa
koydum dolmadı";"Tavşan dağa küsmüş,
dağın haberi olmamış"
27;Burnunda tütmek;Çok özler, çok arar, çok ister olmak.;1;genel;;Can canın yoldaşıdır;Zil takıp oynamak;"Garibe bir selam bin altın
değer"
28;Burnundan kıl aldırmamak;Kendisine söz söyletmemek, çok huysuz ve kibirli olmak.;1;genel;;Umudu boşa çıkmak;"Güneş girmeyen eve doktor
girer";Etliye sütlüye karışmamak
29;Can evinden vurmak;En etkileyici yönünden saldırmak.;1;genel;;Ateş düştüğü yeri yakar;Sünger çekmek;Yerin dibine geçmek
30;Canı burnuna gelmek;Bir şey yaparken çok zorluk çekmek.;1;genel;;Dert ağlatır, aşk söyletir;"Çobanın gönlü olursa
tekeden süt çıkarır";"Dervişin fikri ne ise zikri
de odur"
31;Canını dişine takmak;Her tehlikeyi göze alarak işe girişmek.;1;genel;;Yelkenleri suya indirmek;Yüzünü kara çıkarmak;Dikensiz gül olmaz
32;"Cehenneme atsalar odun yaş
diye bağırır";Her şeye itiraz eder,çok densizdir, hiçbir durumu beğenmez.;1;genel;;"Borcun iyisi vermek,
derdin iyisi ölmek";Sepet havası çalmak;Çoğu gitti, azı kaldı
33;Cendereye sokmak;Manevi baskı altına almak.;1;genel;;"İyi olacak hastanın hekim
ayağına gelir";Paha biçmek;Yüreği hop etmek
34;Çamura bulaşmak;Kirli ve uygunsuz bir işe karışmak. - 65;1;genel;;"İğne deliğinden Hindistan’ı
seyretmek";"Denizdeki balığın pazarlığı
olmaz";Rahat yüzü görmemek
35;Çetele tutmak;Hesap tutmak amacı ile bir yere çizgiler çizmek.;1;genel;;"Her yiğidin bir yoğurt yiyişi
vardır";İki kere iki dört eder;Yaş akıtmak
36;Çil yavrusu gibi dağılmak;Toplu olarak bulunan insanların her biri bir yana dağılmak.;1;genel;;Yerin dibine geçmek;Geç olsun da güç olmasın;"İyiliğe iyilik her kişinin
kârı, kötülüğe iyilik er kişinin
kârı"
37;Çizgisinden sapmamak;Görüşlerinden vazgeçmemek, kararlı davranmak.;1;genel;;Paha biçmek;"Eşeğini sağlam kazığa
bağlamak";Gam çekmek
38;Çizmeyi aşmak;Bilmediği, aklının ermediği, yetkisinin dışındaki bir işe kalkışmak.;1;genel;;Aralarından kara kedi geçmek;Aç kurt aslana saldırır;"Tembele iş buyur, sana
akıl öğretsin"
39;Çorap söküğü gibi gitmek;Başlayan bir iş veya birbirine bağlı birçok iş arka arkaya ve kolayca sürüp gitmek.;1;genel;;Bin tasa bir borç ödemez;Yüreği kan ağlamak;"Danışan dağı aşmış,
danışmayan düz yolda şaşmış"
40;Çorbada tuzu bulunmak;Bir iş veya görevde az da olsa emeği geçmiş olmak.;1;genel;;Pahalıya mal olmak;"Her ağacın meyvesi
olmaz";"Işığını akşamdan önce
yakan sabaha çırasına yağ
bulamaz"
41;Çürük tahtaya basmak;Tedbirsizlik edip sonu tehlikeli olabilecek bir işe girişmek.;1;genel;;İçine daralma gelmek;"Üşüntü köpekler mandayı
paralar";"Zurnada peşrev olmaz, ne
çıkarsa bahtına"
42;Daldan dala konmak;Çok sık, düşünce ya da konu değiştirmek.;1;genel;;İçine atmak;Rafa kaldırmak;Kapısını aşındırmak
43;Dal gibi kalmak;Vücudu çok zayıflamak.;1;genel;;"Bağa bak, üzüm olsun,
yemeye yüzün olsun";Kalıbını basmak;"Eşeğini sağlam kazığa
bağlamak"
44;Deveye hendek atlatmak;Birine yapılması çok zor, hemen hemen imkânsız olan işleri yaptırabilmek. - 66;1;genel;;Tarihe karışmak;Uçan kuşa borcu olmak;"Ne dağda bağım var ne
çakaldan davam"
45;Dikiş tutturamamak;Bir işte veya bir yerde herhangi bir sebeple uzun süre kalamamak;1;genel;;"Acıkan ne olsa yer, acıyan ne
olsa söyler";"Mart kapıdan baktırır,
kazma kürek yaktırır";Kulak kesilmek
46;Dil dökmek;Kandırmak, inandırmak veya yararlanmak için tatlı sözler söylemek.;1;genel;;Yüreği hop etmek;Kişi refikinden azar;Kan ter içinde kalmak
47;Dile getirmek;Belirtmek, anlatmak, açıklamak, ifade etmek.;1;genel;;Yerin dibine geçmek;Yüzüne kan gelmek;Kalıbının adamı olmamak
48;Dilinde tüy bitmek;Tekrar tekrar söylemekten usanmak, bıkmak.;1;genel;;"İşi Allah’a kalmak
Kimsenin kendisine yardım etmediği
bir durumda, çaresiz kalmak.
176-İş başa düşmek";"Lokma karın doyurmaz,
şefaat artırır";Adam olana bir söz yeter
49;Diline düşmek;Yermek veya alay etmek amacıyla birinin kötü veya yanlış davranışını sürekli söylemek.;1;genel;;"Ağaç meyvesi olunca başını
aşağı salar";Hacet kalmamak;"Lokma karın doyurmaz,
şefaat artırır"
50;Dilini tutamamak;Sonunu düşünmeden gelişigüzel konuşmak.;1;genel;;Laf torbaya girmez;"Bir kızı bin kişi ister, bir kişi
alır";Armut dalının dibine düşer
51;"Dimyat’a pirince giderken
evdeki bulgurdan olmak";Daha iyi bir şey elde etmek uğruna elindekini de yitirmek.;1;genel;;"Ağaca çıksa pabucu yerde
kalmaz";Dut yemiş bülbüle dönmek;Yüreği ağzına gelmek
52;Dört duvar arasından kalmak;Evde, kapalı bir yerde kalmak zorunda olmak.;1;genel;;"Fukaranın tavuğu tek tek
yumurtlar";"Kısmet ise gelir Hint’ten,
kısmet değilse ne gelir elden?
Tanrı bir şeyi size kısmet etmişse
o mutlaka size gelir, kısmet
etmemişse yapacak bir şey
yoktur.
360-Kırk gün taban eti, bir gün
av eti";Asıp kesmek
53;Dumanı tepesinden çıkmak;Çok öfkelenmek.;1;genel;;Kaşlarını çatmak;Yarım elma, gönül alma;"Bir kızı bin kişi ister, bir kişi
alır"
54;Dut yemiş bülbüle dönmek;Neşe ve konuşkanlığını yitirmek, susmak. - 67;1;genel;;Bam teline basmak;"Çağrılan yere erinme,
çağrılmayan yere görünme";Ne od var ne ocak
55;Dünya başına yıkılmak;Çok sıkılmak, umutlarını yitirmek.;1;genel;;Etme bulma dünyası;Yan gelip yatmak;Üstünde durmak
56;"Dünyanın kaç bucak
olduğunu anlamak";Dünyada ne gibi güçlükler olduğunu bildirmek (veya anlamak), insanın başına neler gelebileceğini öğretmek veya öğrenmek.;1;genel;;"Komşunun tavuğu komşuya
kaz görünür";Dün öleni dün gömerler;Sakla samanı, gelir zamanı
57;Dünyalara değişmemek;Her şeyden daha fazla sevmek;1;genel;;"Acıyan uyumuş, acıkan
uyumamış";"Dervişin fikri ne ise zikri
de odur";"Fukaranın tavuğu tek tek
yumurtlar"
58;Dünyayı tozpembe görmek;Üzücü durumlara bile iyimser gözle bakmak.;1;genel;;Laf altında kalmamak;"Kargadan başka kuş
tanımamak";Havanda su dövmek
59;El ayak çekilmek;Ortalıkta kimse kalmamak, ıssızlaşıp sessizleşmek.;1;genel;;Kabına sığmamak;"Notunu vermek
Bir kimse için kötü bir kanıya
varmak
274-Ocağı batmak
Yuvası yıkılmak veya soyu
tükenmek
275-Ocağına düşmek
Birine koruması için sığınmak
veya yardım etmesi için yalvarmak
276-Ocağına incir dikmek
Birinin evini barkını dağıtmak
277-Ok yaydan çıkmak
Geri dönülemeyecek bir iş yapmak
278-Olmayacak duaya amin
demek
Gerçekleşmeyecek, sonuç
vermeyecek işlerle uğraşmak
279-On paraya on takla atmak";Lâfla peynir gemisi yürümez
60;El değiştirmek;Bir şeyin kullanımı veya mülkiyeti bir kimseden başka bir kimseye geçmek.;1;genel;;Ekmek aslanın ağzında;Gemi azıya almak;İçini kemirmek
61;Elden düşürmemek;Bir şeyle sürekli ilgilenmek, elden düşürmemek;1;genel;;Ölümle öç alınmaz;Yan gözle bakmak;"Komşu kızı almak, kalaylı
kaptan su içmek gibidir"
62;Eli boş dönmek;Umduğunu alamadan dönmek;1;genel;;"Çobanın gönlü olursa
tekeden süt çıkarır";İçine doğmak;Akıl yaşta değil baştadır
63;Esamisi okunmamak;Kendisine değer verilmemek, adı anılmamak.;1;genel;;Ağaç kökünden yıkılır;Sırtından geçinmek;Çizmeyi aşmak
64;"Eşeğini sağlam kazığa
bağlamak";İşini güven altına almak. - 68;1;genel;;"Büyük başın derdi büyük
olur";Dost acı söyler;Rengi atmak
65;Eşiğine yüz sürmek;Bir dilekte bulunmak için bir kişiye yalvarmaya gitmek.;1;genel;;"Yavaş atın tekmesi yavuz
olur";Lâfla peynir gemisi yürümez;"Dost ağlatır, düşman
güldürür"
66;Etekleri zil çalmak;Büyük sevinç içinde bulunmak;1;genel;;Mantar gibi yerden bitmek;"Katrandan olmaz şeker, olsa
da cinsine çeker";"Karda gezip izini belli
etmemek"
67;Eteğindeki taşı dökmek;Bütün bildiklerini açıklamak;1;genel;;Ateş düştüğü yeri yakar;Huyunu suyunu değiştirmek;"Tavuğun sadakası bir
yumurta"
68;Etek öpmek;Yaltaklanmak, dalkavukluk etmek;1;genel;;Kuş gibi çırpınmak;"Büyük başın derdi büyük
olur";Tuttuğu dal elinde kalmak
